,point_idx,dist_around,center_left,center_bottom,center_right,random_up,random_right,random_bottom,center_up,random_left,dist_index_sort
98,0,27.514,0,3,3,10,5,2,4,0,89.0
99,0,14.142,0,3,3,2,17,30,4,1,36.0
100,1,12.042,11,12,3,12,8,0,20,10,54.0
101,1,10.63,11,12,3,13,2,19,20,3,43.0
102,1,23.324,11,12,3,0,19,32,20,0,98.0
103,1,17.029,11,12,3,3,6,20,20,12,84.0
104,1,2.828,11,12,3,18,1,6,20,13,0.0
105,1,7.071,11,12,3,19,0,13,20,18,20.0
106,1,6.325,11,12,3,22,1,10,20,17,19.0
107,1,5.0,11,12,3,15,3,17,20,11,8.0
108,1,18.0,11,12,3,2,7,30,20,11,85.0
109,1,9.22,11,12,3,26,0,6,20,18,31.0
110,1,7.616,11,12,3,13,0,19,20,14,24.0
111,1,19.723,11,12,3,3,0,29,20,1,92.0
112,1,15.0,11,12,3,5,7,27,20,11,76.0
113,1,7.071,11,12,3,25,2,7,20,16,20.0
114,1,13.454,11,12,3,19,9,2,20,2,69.0
115,1,20.248,11,12,3,3,1,29,20,0,93.0
116,1,6.083,11,12,3,13,0,13,20,0,17.0
117,1,13.0,11,12,3,15,6,17,20,0,63.0
118,1,12.083,11,12,3,3,8,3,20,0,57.0
119,1,21.541,11,12,3,0,15,32,20,3,96.0
120,1,5.0,11,12,3,16,0,16,20,14,8.0
121,1,12.083,11,12,3,25,11,7,20,0,57.0
122,1,8.246,11,12,3,8,2,4,20,4,27.0
123,1,12.53,11,12,3,9,1,23,20,17,61.0
124,1,18.385,11,12,3,3,0,29,20,18,88.0
125,1,3.0,11,12,3,20,0,12,20,14,1.0
126,1,18.248,11,12,3,2,10,0,20,2,87.0
127,1,5.0,11,12,3,25,0,7,20,11,8.0
128,1,15.0,11,12,3,29,12,3,20,0,76.0
129,1,9.849,11,12,3,5,7,1,20,1,36.0
130,1,10.77,11,12,3,10,4,2,20,1,45.0
131,1,13.892,11,12,3,27,12,5,20,0,71.0
132,1,16.031,11,12,3,4,8,8,20,10,79.0
133,1,11.705,11,12,3,6,3,1,20,0,53.0
134,1,10.198,11,12,3,22,13,10,20,1,40.0
135,1,11.0,11,12,3,31,0,1,20,11,48.0
136,1,3.606,11,12,3,18,0,14,20,14,2.0
137,1,13.892,11,12,3,8,10,24,20,4,71.0
138,1,5.099,11,12,3,1,8,11,20,0,13.0
139,1,19.698,11,12,3,2,15,30,20,3,90.0
140,1,7.616,11,12,3,13,0,19,20,14,24.0
141,1,11.18,11,12,3,18,5,14,20,0,49.0
142,1,13.0,11,12,3,2,8,4,20,0,63.0
143,1,12.042,11,12,3,17,9,4,20,2,54.0
144,1,12.649,11,12,3,16,6,16,20,0,62.0
145,1,9.899,11,12,3,27,7,5,20,4,37.0
146,1,4.243,11,12,3,17,0,15,20,14,6.0
